cycle,equity
1,10000.0
2,10002.40874705007
3,9996.905179124251
4,9991.90672653469
5,9991.90672653469
6,9991.90672653469
7,9981.773906996952
8,9976.783020043455
9,9978.307283678387
10,9980.689266021503
11,9970.246618738023
12,9965.261495428655
13,9965.261495428655
14,9953.230496389904
15,9948.253881141709
16,9948.253881141709
17,9937.5450123596
18,9916.259447365886
19,9911.301317642205
20,9911.301317642205
21,9911.301317642205
22,9912.023933512155
23,9898.954234309515
24,9888.857338610529
25,9883.912909941224
26,9883.912909941224
27,9878.137182176037
28,9873.19811358495
29,9880.947212404082
30,9876.006738797882
31,9876.006738797882
32,9876.006738797882
33,9862.144424981936
34,9868.224741485365
35,9863.290629114623
36,9863.290629114623
37,9863.290629114623
38,9866.091857113535
39,9861.15881118498
40,9861.15881118498
41,9854.594598492093
42,9849.667301192847
43,9854.415808279133
44,9854.432288295708
45,9849.50507215156
46,9849.50507215156
47,9844.16290717822
48,9856.401038360746
49,9851.472837841566
50,9851.472837841566
51,9862.566845845957
52,9857.635562423035
53,9857.635562423035
54,9852.924687324277
55,9847.998224980616
56,9847.998224980616
57,9841.950427314183
58,9837.029452100527
59,9838.007100544268
60,9838.782158272741
61,9833.862767193605
62,9810.86704177553
63,9805.961608254642
64,9788.884492499437
65,9790.201416493383
66,9785.306315785136
67,9790.42749139317
68,9785.532277647473
69,9785.532277647473
70,9785.532277647473
71,9778.727560591233
72,9767.836416183942
73,9762.695462713988
74,9757.814114982632
75,9757.814114982632
76,9771.573587771487
77,9766.687800977601
78,9766.687800977601
79,9770.941231550189
80,9766.055760934414
81,9766.055760934414
82,9763.554924306061
83,9753.720731514799
84,9748.22513903245
85,9743.351026462935
86,9750.191491016318
87,9752.040288260514
88,9755.407982298768
89,9770.412046970225
90,9765.52684094674
91,9765.52684094674
92,9766.547253377468
93,9784.966923268586
94,9782.432333435932
95,9777.541117269215
96,9777.541117269215
97,9780.476779350442
98,9775.586540960767
99,9766.022642613678
100,9761.139631292372
101,9759.374582898206
102,9754.494895606758
103,9754.494895606758
104,9737.846861961922
105,9732.977938530941
106,9732.977938530941
107,9732.977938530941
108,9728.407891107821
109,9734.258654154686
110,9724.01360154576
111,9719.151594744986
112,9719.151594744986
113,9719.151594744986
114,9719.151594744986
115,9719.151594744986
116,9711.3551119544
117,9706.499434398424
118,9706.499434398424
119,9706.499434398424
120,9702.187287975588
121,9697.336194331601
122,9697.336194331601
123,9697.336194331601
124,9691.769634570597
125,9685.152947162853
126,9681.580993274336
127,9683.310972691086
128,9680.6476920017
129,9675.8073681557
130,9675.160447053802
131,9670.322866830276
132,9670.322866830276
133,9670.322866830276
134,9670.322866830276
135,9670.322866830276
136,9665.102259169335
137,9661.851189909426
138,9657.020264314473
139,9657.020264314473
140,9657.020264314473
141,9647.260596695547
142,9645.047058152986
143,9654.223630740074
144,9655.936423129931
145,9651.108454918367
146,9647.776056820376
147,9645.75841653891
148,9640.935537330643
149,9638.261657087525
150,9633.442526258981
151,9633.442526258981
152,9634.86435868109
153,9628.130643548706
154,9623.316578226932
155,9623.316578226932
156,9612.451374503979
157,9607.645148816728
158,9609.153102066122
159,9604.34852551509
160,9612.43662022938
161,9621.798965030004
162,9616.98806554749
163,9616.98806554749
164,9616.98806554749
165,9616.98806554749
166,9615.95547724831
167,9611.147499509687
168,9611.147499509687
169,9597.717204166996
170,9591.046820504116
171,9592.406190616242
172,9587.609987520935
173,9592.39080084598
174,9587.594605445558
175,9587.594605445558
176,9577.055032070139
177,9591.073692114294
178,9586.278155268237
179,9586.278155268237
180,9576.706259098488
181,9592.141632189863
182,9596.815518779673
183,9592.017111020283
184,9592.017111020283
185,9592.017111020283
186,9595.3930386588
187,9590.595342139472
188,9586.330227635486
189,9581.53706252167
190,9581.53706252167
191,9581.53706252167
192,9570.7860421149
193,9572.75538372906
194,9567.969006037196
195,9567.969006037196
196,9557.099502150113
197,9554.738992249131
198,9548.893880549405
199,9544.11943360913
200,9544.11943360913
